1944 1 -16.3 -2.3 4.5 
1980 6 9.4 11.4 34.1 
2019 10 -4.2 3.8 20.8 
1857 5 3.0 25.0 26.4 
1942 2 -13.6 -6.6 8.5 
1982 5 4.7 10.7 28.1 
1878 11 -7.0 -6.0 10.4 
1980 8 10.8 29.8 35.1 
1998 8 8.3 16.3 19.1 
2009 6 9.2 17.2 26.0 
1981 6 7.3 7.3 25.0 
1972 3 -9.3 -1.3 2.9 
